transaction_id,timestamp,amount,asset_ticker,transaction_type,is_fraud
J00001,2025-09-19 12:31,17.250702488088887,LTC,SELL,0
J00002,2025-09-19 12:33,17.72198503875977,TICK011,BUY,0
J00003,2025-09-19 12:35,15.057659684102822,TICK066,BUY,0
J00004,2025-09-19 12:38,17.62122746748113,SIDO,SELL,0
J00005,2025-09-19 12:40,17.220949962843406,ANTM,BUY,0
J00006,2025-09-19 12:43,17.492153551019616,TICK007,DEPOSIT,0
J00007,2025-09-19 12:45,15.780579429574606,TICK038,BUY,0
J00008,2025-09-19 12:47,18.686771188349972,TICK060,DEPOSIT,0
J00009,2025-09-19 12:48,17.54565757131976,TICK034,SELL,0
J00010,2025-09-19 12:50,18.564928202645348,TICK027,DEPOSIT,0
J00011,2025-09-19 12:52,17.83904411475226,TICK067,BUY,0
J00012,2025-09-19 12:53,17.357718493466102,USDT,WITHDRAWAL,0
J00013,2025-09-19 12:56,17.1879761739625,TICK070,BUY,0
J00014,2025-09-19 12:57,18.513120973021397,TICK008,DEPOSIT,0
J00015,2025-09-19 13:00,17.39524197168445,TICK004,BUY,0
J00016,2025-09-19 13:01,16.68677056651978,TICK076,BUY,0
J00017,2025-09-19 13:04,17.76972671984036,TICK043,SELL,0
J00018,2025-09-19 13:05,17.142398747229272,TICK020,BUY,0
J00019,2025-09-19 13:08,16.207322546872405,TICK009,BUY,0
J00020,2025-09-19 13:11,17.734992754327557,TICK021,BUY,0
J00021,2025-09-19 13:14,17.90347202484292,TICK058,BUY,0
J00022,2025-09-19 13:15,17.89064732594193,BTC,WITHDRAWAL,0
J00023,2025-09-19 13:18,17.384710579397126,USDT,SELL,0
J00024,2025-09-19 13:20,16.97605100369935,TICK007,BUY,0
J00025,2025-09-19 13:23,18.416161025395102,TICK026,DEPOSIT,0
J00026,2025-09-19 13:25,17.204979698560468,TICK061,SELL,0
J00027,2025-09-19 13:28,16.09740170055169,ADA,SELL,0
J00028,2025-09-19 13:31,17.616964372775357,USDT,WITHDRAWAL,1
J00029,2025-09-19 13:32,16.795421583004714,TICK071,BUY,0
J00030,2025-09-19 13:34,17.82785094982424,TICK021,BUY,0
J00031,2025-09-19 13:36,18.81759410992605,TICK076,DEPOSIT,0
J00032,2025-09-19 13:39,17.69363514964285,TICK069,DEPOSIT,0
J00033,2025-09-19 13:42,18.264711845500315,TICK059,DEPOSIT,0
J00034,2025-09-19 13:45,17.225952014538912,TICK015,BUY,0
J00035,2025-09-19 13:47,18.80881276493833,TICK006,DEPOSIT,0
J00036,2025-09-19 13:49,17.06785814082675,TICK066,BUY,0
J00037,2025-09-19 13:50,16.81389770422291,TICK021,SELL,0
J00038,2025-09-19 13:51,17.756505572145112,BMRI,BUY,0
J00039,2025-09-19 13:53,18.558807619899873,TICK051,DEPOSIT,0
J00040,2025-09-19 13:54,16.040444763933223,TICK011,WITHDRAWAL,0
J00041,2025-09-19 13:55,17.1355499435833,TICK074,BUY,0
J00042,2025-09-19 13:57,17.703184147903187,TICK065,DEPOSIT,0
J00043,2025-09-19 14:00,17.3525195680362,ANTM,SELL,0
J00044,2025-09-19 14:02,15.771929721949471,TICK070,BUY,0
J00045,2025-09-19 14:05,17.497689916483175,TICK075,BUY,0
J00046,2025-09-19 14:07,17.616906313919678,TICK055,SELL,0
J00047,2025-09-19 14:10,16.90995580615293,TICK004,BUY,0
J00048,2025-09-19 14:13,17.531118745488932,TICK046,BUY,0
