tx_id,unix_timestamp,amount,merchant_country,avg_amount_7d,time_since_last_tx_sec,is_fraud
M00001,1758250260,4.839982531748843,US,4.839982531748843,86400,0
M00002,1758250364,4.159670577287972,US,4.839982531748843,104,0
M00003,1758250579,3.35057889228462,JP,4.556597198798743,215,0
M00004,1758250705,4.81062209648011,US,4.290627465595314,126,0
M00005,1758250756,5.0029538881435425,CN,4.448062450196403,51,0
M00006,1758251051,5.100564488051546,US,4.586388908208781,295,0
M00007,1758251111,4.99500421604847,SG,4.692587965554869,60,0
M00008,1758251137,4.901114383899891,US,4.741803120787755,26,0
M00009,1758251251,5.11653737250865,US,4.763161266685762,114,0
M00010,1758251285,5.040493458191594,JP,4.80918215733492,34,0
M00011,1758251463,5.248369547825281,CN,4.834874416040528,178,0
M00012,1758251594,1.9711976041027768,US,4.880377237028232,131,0
M00013,1758251872,3.5438683234942405,US,4.798310020988681,278,0
M00014,1758251923,4.7795564185209996,US,4.741758802505884,51,0
M00015,1758252004,4.433272624320375,JP,4.744506526308896,81,0
M00016,1758252209,4.282186335143731,US,4.726515148571594,205,0
M00017,1758252418,5.020269288247035,US,4.703838371343121,209,0
M00018,1758252419,5.969922359307045,CN,4.725497488922676,1,1
M00019,1758252802,4.688269970368961,US,4.854131952119304,383,0
M00020,1758253056,2.754796697447805,US,4.8460553795051,254,0
M00021,1758253239,4.563856520283306,JP,4.801242701067499,183,0
M00022,1758253463,4.824820814593413,US,4.79112919119206,224,0
M00023,1758253624,4.104565868718367,US,4.792685507423152,161,0
M00024,1758253765,3.9627457247611746,JP,4.770818598902341,141,0
M00025,1758253929,4.730652064469556,US,4.747452568306783,164,0
M00026,1758254182,5.214022015038095,US,4.746785939662982,253,0
M00027,1758254187,3.356642627378848,CN,4.769434364348287,5,0
M00028,1758254190,5.16103134621776,RU,4.741014414454672,3,1
M00029,1758254360,2.852844829727648,SG,4.759485179211689,170,0
M00030,1758254534,4.240603317589928,US,4.729686213072323,174,0
M00031,1758254588,4.952257258459538,JP,4.7167086507499425,54,0
M00032,1758254769,4.221580288234082,CN,4.725239990572313,181,0
M00033,1758254777,4.427333438027553,US,4.71279774951319,8,0
M00034,1758254851,5.238682742318431,US,4.705243993614434,74,0
M00035,1758254989,4.299742912476514,US,4.725761030202419,138,0
M00036,1758255004,4.711444424298037,US,4.715800286561822,15,0
M00037,1758255194,5.236745707356746,US,4.715679546238138,190,0
M00038,1758255355,4.655482557660788,KR,4.733992509116353,161,0
M00039,1758255525,3.668167691072966,JP,4.732003502348896,170,0
M00040,1758255679,3.523449847202157,US,4.715069372492321,154,0
M00041,1758255886,5.200068021334879,CN,4.697509317454257,207,0
M00042,1758256082,5.18570218532937,JP,4.713309331433599,196,0
M00043,1758256280,4.006433151886655,CN,4.727583805812289,198,0
M00044,1758256344,4.848317829884958,US,4.715562830785078,64,0
M00045,1758256550,3.6499576803678653,JP,4.718784231505203,206,0
M00046,1758256604,3.9345943369292327,KR,4.704085877032879,54,0
M00047,1758256611,5.223212011389914,CN,4.692348755978417,7,0
M00048,1758256904,4.4349079686641915,US,4.70714092852884,293,0
M00049,1758256958,3.842911626724598,SG,4.702163494972908,54,0
M00050,1758256992,4.684017423675128,US,4.690327991759164,34,0
M00051,1758257083,5.147180797383686,US,4.690202169878566,91,0
M00052,1758257084,5.27388120421296,CN,4.701496871953995,1,1
M00053,1758257641,4.905967502451506,KR,4.716243151809252,557,0
M00054,1758257857,5.103654098186511,US,4.720177220462168,216,0
M00055,1758257914,5.062675033543657,JP,4.728795120623372,57,0
M00056,1758258103,5.267405575762865,CN,4.735976101856817,189,0
M00057,1758258353,4.897009927856591,US,4.748422653747288,250,0
M00058,1758258455,4.808849718747861,US,4.751229133794714,102,0
M00059,1758258533,5.207324963873929,US,4.752251249190583,78,0
M00060,1758258793,4.337313065093547,JP,4.761971474270195,260,0
M00061,1758258833,4.626076298541288,US,4.756188001269057,40,0
M00062,1758259106,5.156356729679517,US,4.754185955080916,273,0
M00063,1758259250,5.282688654017347,US,4.762139189747214,144,0
M00064,1758259466,4.479008695440154,US,4.772921362450314,216,0
M00065,1758259578,4.79587200827997,US,4.76893438722798,112,0
M00066,1758259791,5.132001484064862,US,4.769354356238487,213,0
M00067,1758260068,4.674294141244958,JP,4.775955680790369,277,0
M00068,1758260216,4.441291889124741,US,4.774511881449216,148,0
M00069,1758260219,6.38801422720857,CN,4.770335710543825,3,1
M00070,1758260304,3.8575867214059825,RU,4.827255243498805,85,0
M00071,1758260581,4.257436199623706,US,4.818347237860923,277,0
M00072,1758260880,4.434628495384622,SG,4.812282247829864,299,0
M00073,1758261075,5.0585403046849375,US,4.807904175279003,195,0
M00074,1758261080,3.6513915409591404,KR,4.811798534230007,5,0
M00075,1758261081,6.146320966584741,CN,4.802476279153748,1,1
M00076,1758261494,4.792617807395349,JP,4.839563368981077,413,0
M00077,1758261564,2.02552114940857,US,4.838959757081025,70,0
M00078,1758261674,5.233877728274537,US,4.82667681572599,110,0
M00079,1758261956,4.023982937882611,SG,4.833099810314916,282,0
M00080,1758262189,5.1273000181247514,US,4.826052901175196,233,0
M00081,1758262368,4.382130767018127,JP,4.830437565588485,179,0
M00082,1758262588,5.302189184901039,RU,4.825967201954318,220,0
M00083,1758262842,4.641961397722054,US,4.8333784555750645,254,0
M00084,1758263030,5.266610444513551,US,4.831277311342098,188,0
M00085,1758263031,5.711413061239732,RU,4.837750101175054,1,1
M00086,1758263147,4.97865432377101,JP,4.8540364040207615,116,0
M00087,1758263184,2.912854948532153,KR,4.855578418947705,37,0
M00088,1758263255,4.5301094115126315,US,4.845682641087798,71,0
M00089,1758263485,4.074200084490999,RU,4.842602569095762,230,0
M00090,1758263514,5.0793486829739605,US,4.836559100588838,29,0
M00091,1758263552,4.698887806580881,JP,4.839607785904224,38,0
M00092,1758263845,4.873681078002351,US,4.838164244947563,293,0
M00093,1758263965,4.0162874071810775,SG,4.838557157851923,120,0
M00094,1758264004,3.3597575743184644,US,4.83251131765534,39,0
M00095,1758264265,4.932385068778222,JP,4.824278512418697,261,0
M00096,1758264555,4.524424985548344,SG,4.825479543109175,290,0
M00097,1758264706,4.469590425232653,KR,4.8227679262157155,151,0
