transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,avg_amount_7d,time_since_last_tx_sec,is_fraud
M00001,2025-09-19 02:51,4.839982531748843,US,US,1,0,4.839982531748843,86400,0
M00002,2025-09-19 02:52,4.159670577287972,US,US,1,0,4.839982531748843,104,0
M00003,2025-09-19 02:56,3.35057889228462,JP,JP,1,0,4.556597198798743,215,0
M00004,2025-09-19 02:58,4.81062209648011,US,US,1,0,4.290627465595314,126,0
M00005,2025-09-19 02:59,5.002953888143543,CN,CN,1,0,4.448062450196403,51,0
M00006,2025-09-19 03:04,5.100564488051546,US,US,1,0,4.586388908208781,295,0
M00007,2025-09-19 03:05,4.99500421604847,SG,SG,1,0,4.692587965554869,60,0
M00008,2025-09-19 03:05,4.901114383899891,US,US,1,0,4.741803120787755,26,0
M00009,2025-09-19 03:07,5.11653737250865,US,US,1,0,4.763161266685762,114,0
M00010,2025-09-19 03:08,5.040493458191594,JP,JP,1,0,4.80918215733492,34,0
M00011,2025-09-19 03:11,5.248369547825281,CN,CN,1,0,4.834874416040528,178,0
M00012,2025-09-19 03:13,1.9711976041027768,US,US,1,0,4.880377237028232,131,0
M00013,2025-09-19 03:17,3.5438683234942405,US,US,1,0,4.798310020988681,278,0
M00014,2025-09-19 03:18,4.779556418521,US,US,1,0,4.741758802505884,51,0
M00015,2025-09-19 03:20,4.433272624320375,JP,JP,1,0,4.744506526308896,81,0
M00016,2025-09-19 03:23,4.282186335143731,US,US,1,0,4.726515148571594,205,0
M00017,2025-09-19 03:26,5.020269288247035,US,US,1,0,4.703838371343121,209,0
M00018,2025-09-19 03:26,5.969922359307045,CN,CN,1,0,4.725497488922676,1,1
M00019,2025-09-19 03:33,4.688269970368961,US,US,1,0,4.854131952119304,383,0
M00020,2025-09-19 03:37,2.754796697447805,US,US,1,0,4.8460553795051,254,0
M00021,2025-09-19 03:40,4.563856520283306,JP,JP,1,0,4.801242701067499,183,0
M00022,2025-09-19 03:44,4.824820814593413,US,US,1,0,4.79112919119206,224,0
M00023,2025-09-19 03:47,4.104565868718367,US,US,1,0,4.792685507423152,161,0
M00024,2025-09-19 03:49,3.962745724761175,JP,JP,1,0,4.770818598902341,141,0
M00025,2025-09-19 03:52,4.730652064469556,US,US,1,0,4.747452568306783,164,0
M00026,2025-09-19 03:56,5.214022015038095,US,US,1,0,4.746785939662982,253,0
M00027,2025-09-19 03:56,3.356642627378848,CN,CN,1,0,4.769434364348287,5,0
M00028,2025-09-19 03:56,5.16103134621776,RU,RU,1,0,4.741014414454672,3,1
M00029,2025-09-19 03:59,2.852844829727648,SG,SG,1,0,4.759485179211689,170,0
M00030,2025-09-19 04:02,4.240603317589928,US,US,1,0,4.729686213072323,174,0
M00031,2025-09-19 04:03,4.952257258459538,JP,JP,1,0,4.716708650749943,54,0
M00032,2025-09-19 04:06,4.221580288234082,CN,CN,1,0,4.725239990572313,181,0
M00033,2025-09-19 04:06,4.427333438027553,US,US,1,0,4.71279774951319,8,0
M00034,2025-09-19 04:07,5.238682742318431,US,US,1,0,4.705243993614434,74,0
M00035,2025-09-19 04:09,4.299742912476514,US,US,1,0,4.725761030202419,138,0
M00036,2025-09-19 04:10,4.711444424298037,US,US,1,0,4.715800286561822,15,0
M00037,2025-09-19 04:13,5.236745707356746,US,US,1,0,4.715679546238138,190,0
M00038,2025-09-19 04:15,4.655482557660788,KR,KR,1,0,4.733992509116353,161,0
M00039,2025-09-19 04:18,3.668167691072966,JP,JP,1,0,4.732003502348896,170,0
M00040,2025-09-19 04:21,3.523449847202157,US,US,1,0,4.715069372492321,154,0
M00041,2025-09-19 04:24,5.200068021334879,CN,CN,1,0,4.697509317454257,207,0
M00042,2025-09-19 04:28,5.18570218532937,JP,JP,1,0,4.713309331433599,196,0
M00043,2025-09-19 04:31,4.006433151886655,CN,CN,1,0,4.727583805812289,198,0
