transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,hashed_merchant_id,hashed_customer_id,is_fraud
N00001,2025-09-19 13:00,12.311882060417664,encrypted_channel,Jakarta,0,0,0x80fd...,0xbb54...,0
N00002,2025-09-19 13:03,12.050085280027956,encrypted_channel,Bandung,0,0,0x1a2b...,0xb643...,0
N00003,2025-09-19 13:06,12.841858156300962,encrypted_channel,Jakarta,0,0,0x80fd...,0x6327...,0
N00004,2025-09-19 13:07,13.42166320167116,encrypted_channel,Jakarta,0,0,0x6f05...,0xcb01...,0
N00005,2025-09-19 13:10,15.365436017392868,encrypted_channel,International,1,0,0xc7fc...,0x558b...,1
N00006,2025-09-19 13:13,12.36700882313674,encrypted_channel,Bandung,0,0,0xa6f9...,0x19d7...,0
N00007,2025-09-19 13:14,13.696456715174444,encrypted_channel,Bandung,0,0,0x6f05...,0xc439...,0
N00008,2025-09-19 13:15,12.46227566073031,encrypted_channel,Jakarta,0,0,0x7bd7...,0x9cff...,0
N00009,2025-09-19 13:16,12.027878558999458,encrypted_channel,Bandung,0,0,0x1648...,0x683f...,0
N00010,2025-09-19 13:19,12.911627531164122,encrypted_channel,International,1,0,0x1648...,0x5980...,0
N00011,2025-09-19 13:21,12.151199266068351,encrypted_channel,International,1,0,0xdd89...,0xb79d...,0
N00012,2025-09-19 13:23,13.26011808924815,encrypted_channel,Bandung,0,0,0x315e...,0x558b...,0
N00013,2025-09-19 13:25,13.013211238173785,encrypted_channel,Jakarta,0,0,0x6f05...,0x558b...,0
N00014,2025-09-19 13:27,13.642595421754876,encrypted_channel,Bandung,0,0,0xd191...,0xc564...,0
N00015,2025-09-19 13:29,12.369020233140931,encrypted_channel,International,1,0,0x2f2c...,0xf11a...,0
N00016,2025-09-19 13:30,12.660467590592756,encrypted_channel,Jakarta,0,0,0x1a2b...,0x523f...,0
N00017,2025-09-19 13:32,13.381437620296674,encrypted_channel,Jakarta,0,0,0x7bd7...,0x12ca...,0
N00018,2025-09-19 13:33,15.963972670747424,encrypted_channel,Bandung,0,0,0xfdc8...,0xa95b...,1
N00019,2025-09-19 13:36,12.870159124775707,encrypted_channel,International,1,0,0x80fd...,0xdcd6...,0
N00020,2025-09-19 13:37,13.638102510090269,encrypted_channel,Surabaya,0,0,0x315e...,0x523f...,0
N00021,2025-09-19 13:38,13.563151870348616,encrypted_channel,Jakarta,0,0,0x95bf...,0x6775...,0
N00022,2025-09-19 13:40,13.286851866046492,encrypted_channel,Surabaya,0,0,0x6a0a...,0x2685...,0
N00023,2025-09-19 13:42,13.457247210322905,encrypted_channel,Bandung,0,0,0x3f27...,0x1b4f...,0
N00024,2025-09-19 13:44,13.178040249859183,encrypted_channel,Surabaya,0,0,0x80fd...,0x88ae...,0
N00025,2025-09-19 13:47,13.074529355984698,encrypted_channel,Surabaya,0,0,0xf1b2...,0xf976...,0
N00026,2025-09-19 13:50,13.19283488849806,encrypted_channel,Jakarta,0,0,0x7bd7...,0x4498...,0
N00027,2025-09-19 13:52,13.56188718039609,encrypted_channel,Jakarta,0,0,0x2f2c...,0x2685...,0
N00028,2025-09-19 13:55,15.242538429689834,encrypted_channel,International,1,0,0xfdc8...,0xa95b...,1
N00029,2025-09-19 13:57,12.104349949420303,encrypted_channel,Bandung,0,0,0x5709...,0x4010...,0
N00030,2025-09-19 13:58,13.080974555601172,encrypted_channel,Bandung,0,0,0x9ba9...,0x979b...,0
N00031,2025-09-19 13:59,13.244368598190228,encrypted_channel,Jakarta,0,0,0x1b38...,0x65e4...,0
N00032,2025-09-19 14:00,12.40361527186318,encrypted_channel,Jakarta,0,0,0xc7fc...,0x1b4f...,0
N00033,2025-09-19 14:01,13.277839464205863,encrypted_channel,Jakarta,0,0,0x1b38...,0x2659...,0
N00034,2025-09-19 14:04,11.691732519797489,encrypted_channel,Jakarta,0,0,0xfdc8...,0xc439...,0
N00035,2025-09-19 14:06,12.600871066263094,encrypted_channel,Surabaya,0,0,0x7a12...,0xa95b...,0
N00036,2025-09-19 14:08,13.056029111548568,encrypted_channel,Bandung,0,0,0xf7c9...,0xa80e...,0
N00037,2025-09-19 14:10,11.847238228750305,encrypted_channel,Surabaya,0,0,0x80fd...,0x65e4...,0
N00038,2025-09-19 14:11,13.316135788867308,encrypted_channel,Jakarta,0,0,0x3f27...,0xf976...,0
N00039,2025-09-19 14:14,13.17715454708702,encrypted_channel,Jakarta,0,0,0xd191...,0x45c9...,0
N00040,2025-09-19 14:15,13.221783282525085,encrypted_channel,Jakarta,0,0,0x95bf...,0x183b...,0
N00041,2025-09-19 14:17,13.144011359808475,encrypted_channel,Jakarta,0,0,0x492a...,0xb79d...,0
N00042,2025-09-19 14:20,13.389502378498872,encrypted_channel,Bandung,0,0,0xfdc8...,0xd265...,0
N00043,2025-09-19 14:23,13.342125217172129,encrypted_channel,Bandung,0,0,0xddc0...,0x55af...,0
N00044,2025-09-19 14:25,13.350386205662714,encrypted_channel,Jakarta,0,0,0x315e...,0x872d...,0
N00045,2025-09-19 14:28,12.507446802113185,encrypted_channel,Jakarta,0,0,0xc7fc...,0xd2d3...,0
N00046,2025-09-19 14:29,13.384412207512248,encrypted_channel,Bandung,0,0,0x1648...,0x766a...,0
N00047,2025-09-19 14:30,12.40375478880651,encrypted_channel,International,1,0,0x95bf...,0xee14...,0
N00048,2025-09-19 14:32,11.671116542813754,encrypted_channel,Jakarta,0,0,0x492a...,0xe774...,0
N00049,2025-09-19 14:33,13.690324814754884,encrypted_channel,Bandung,0,0,0x7a12...,0xf495...,0
N00050,2025-09-19 14:34,12.400656215615012,encrypted_channel,Jakarta,0,0,0x80fd...,0xd598...,0
N00051,2025-09-19 14:37,12.159772129612978,encrypted_channel,Bandung,0,0,0xa6f9...,0x69de...,0
N00052,2025-09-19 14:40,15.348832576025089,encrypted_channel,International,1,0,0xddc0...,0x9185...,1
N00053,2025-09-19 14:41,13.709624348598163,encrypted_channel,Bandung,0,0,0x6f05...,0x65e4...,0
